palavra,contagem
presa,2
like,2
Ã s,2
114,2
salvado,2
externos.Tragédia,2
investir,2
'Desastre,2
Igor,2
Pedro,2
indevido,2
lidar,2
hortas,2
estaria,2
be,2
calcula,2
piores,2
[MG]Vale,2
»,2
Recuperação,2
ofereceu,2
Engenheiros,2
terceirizados,2
População,2
instantâneo.,1
dificultador,1
monte,1
assim.,1
suas,1
mais.Após,1
explorou,1
"""as",1
fazer,1
Aos,1
cartinhas,1
BarÃ£o,1
entregou,1
atingir,1
Article,1
tinham,1
2019/,1
condições,1
Reprodução/TV,1
comunidade,1
decidiu,1
velas,1
velar,1
Ativistasâ,1
MAM,1
Unidade,1
Joana,1
colegas,1
enfrentar,1
tipo,1
Feijão,1
Vítimas,1
manifestação,1
above,1
organismo,1
FerrousGoverno,1
ITABIRA.,1
golpes,1
"""Ele",1
Unidos,1
WASHINGTON,1
reported,1
interno,1
Castelo,1
afirmou,1
início,1
Antônio,1
edição,1
escritas,1
relacionada,1
estrutura,1
favoráveis,1
MídiaKitTumulto,1
12h28,1
SomosVale,1
(Ernst,1
//jornal.usp.br/wp-content/uploads/2019/01/Desastre-Brumadinho-03-JORUSP-28-01-19-1.mp3,1
outro,1
Fundão,1
acumulam,1
Resgate,1
aproximaram,1
Você,1
would,1
BrasilespbracatameengNewsletterassineBrasilBrasilInternacionalBrasilOpiniãoEconomiaCiênciaTecnologiaCulturaEstiloEsportesTragédia,1
computação,1
quebra-cabeças,1
ambientalMeio,1
saber,1
desembargador,1
G.,1
intimidade,1
receberão,1
InternacionalEspeciaisRÃ¡dioInÃ­ciogeralIMPACTOTrabalhadores,1
joia,1
geraismineraçãoVale,1
psicológicos,1
salvamento,1
faz,1
desfrutava,1
Energia,1
Bruno,1
CecÃ­lia,1
aceitos,1
citava,1
titular,1
tragédia.,1
Produtores,1
instabilidade,1
Azul.,1
implementado,1
constante,1
Missão,1
wrong,1
Pessoas,1
trágico,1
"""A",1
ordem,1
quantidade,1
consternada,1
regiões,1
PúblicaIndenização,1
contribuição,1
continuou,1
brumadinhosalárioscontrataçãoCórrego,1
 Brumadinho,1
BrumadinhoâA,1
indignação,1
madrugada,1
rompendoquery_builder,1
coincidÃªncia,1
mais.A,1
vida.,1
tailings,1
atestado,1
estabilidade,1
gente,1
relacionadasAo,1
planeja,1
(EdiÃ§Ã£o,1
weeks,1
Mulheres,1
pousadas,1
ValeMoradores,1
trazer,1
negócio,1
mineração]Brumadinho,1
reclamaÃ§Ãµes,1
insólitoFotosVídeosInfográficosChargesOuvir,1
curtaTema:,1
instalar,1
they,1
lenta,1
chocado,1
